Wardno,Partno,From,To,EnglishBoothAddress,MarathiBoothAddress
134,1,,,Z.P.Primary School Pali Room No.1. Tal.Wada. Dist.Palghar. 421303,जिल्हा परिषद प्राथमिक शाळा पाली खोली क्र.1 तालुका वाडा जिल्हा पालघर- 421303
134,2,,,Z.P.Primary School Sapane Khu. Room No.1. Tal.Wada. Dist.Palghar. 421303,जिल्हा परिषद प्राथमिक शाळा सापने खु.खोली क्र.1 तालुका वाडा जिल्हा पालघर- 421303
134,3,,,Z.P.Primary School Sapane Bu. Room No.1. Tal.Wada. Dist.Palghar. 421303,जिल्हा परिषद प्राथमिक शाळा सापने बु. खोली क्र.2 तालुका वाडा जिल्हा पालघर- 421303
134,4,,,Grampanchayat Karanje Community Hall Room No.1. Tal.Wada. Dist.Palghar. 421303,ग्रामपंचायत करांजे. कम्युनिटी हॉल. खोली क्र.1 तालुका वाडा जिल्हा पालघर- 421303
134,5,,,Z.P.Primary School Harosale Room No.1. Tal.Wada. Dist.Palghar. 421303,जिल्हा परिषद प्राथमिक शाळा हरोसाले खोली क्र.1 तालुका वाडा जिल्हा पालघर- 421303
134,6,,,Anganvadi. Ganesh Maidan. Wada.. Tal.Wada. Dist.Palghar. 421303,अंगणवाडी केंद्र गणेशमैदान. वाडा तालुका वाडा जिल्हा पालघर- 421303
134,7,,,Sab Registai Office.Wada.. Tal.Wada. Dist.Palghar. 421303,दुय्य्म निबंधक कार्यालय. वाडा. तालुका वाडा जिल्हा पालघर- 421303
134,8,,,Z.P.Primary School. New Building. (Dagadi) Wada Room No. 1. Tal.Wada. Dist.Palghar. 421303,जिल्हा परिषद प्राथमिक शाळा .नवीन बिल्डीग (दगडी) वाडा खोली क्र.1 तालुका वाडा जिल्हा पालघर- 421303
134,9,,,Z.P.Primary School. New Building. (Dagadi) Wada Room No. 2. Tal.Wada. Dist.Palghar. 421303,जिल्हा परिषद प्राथमिक शाळा .नवीन बिल्डीग (दगडी) वाडा खोली क्र.2 तालुका वाडा जिल्हा पालघर
134,10,,,Nagarpanchayat Office Wada. Ground Floor. Room No. 1. Tal.Wada. Dist.Palghar. 421303,नगर पंचायत कार्यालय वाडा. तळमजला खोली क्र.1 तालुका वाडा जिल्हा पालघर- 421303
134,11,,,Nagarpanchayat Office Wada. Ground Floor. Room No. 2. Tal.Wada. Dist.Palghar. 421303,नगर पंचायत कार्यालय वाडा. तळमजला खोली क्र.2 तालुका वाडा जिल्हा पालघर- 421303
134,12,,,Z.P. Primary Urdu School Wada. Room No. 1. Tal.Wada. Dist.Palghar. 421303,जिल्हा परषद ऊर्दु शाळा. वाडा. खोली क्र.1 तालुका वाडा जिल्हा पालघर- 421303
134,13,,,Z.P.Primary Urdu School Wada Room No.3. Tal.Wada. Dist.Palghar. 421303,जिल्हा परषद ऊर्दु शाळा. वाडा. खोली क्र.3 तालुका वाडा जिल्हा पालघर- 421303
134,14,,,Z.P.Primary Urdu School Wada Room No. 4. Tal.Wada. Dist.Palghar. 421303,जिल्हा परषद ऊर्दु शाळा. वाडा. खोली क्र.4 तालुका वाडा जिल्हा पालघर- 421303
134,15,,,Z.P.Primary Urdu School Wada Room No. 5. Tal.Wada. Dist.Palghar. 421303,जिल्हा परषद ऊर्दु शाळा. वाडा. खोली क्र.5 तालुका वाडा जिल्हा पालघर- 421303
134,16,,,Z.P.Primary Central School Wada Room No.1. Tal.Wada. Dist.Palghar. 421303,जिल्हा परिषद मध्यवर्ती प्राथमिक शाळा . वाडा. खोली क्र. 1 तालुका वाडा जिल्हा पालघर- 421303
134,17,,,Z.P.Primary Central School Wada Room No. 2. Tal.Wada. Dist.Palghar. 421303,जिल्हा परिषद मध्यवर्ती प्राथमिक शाळा . वाडा. खोली क्र. 2 तालुका वाडा जिल्हा पालघर- 421303
134,18,,,Z.P.Primary Central School Wada Room No. 3. Tal.Wada. Dist.Palghar. 421303,जिल्हा परिषद मध्यवर्ती प्राथमिक शाळा . वाडा. खोली क्र. 3 तालुका वाडा जिल्हा पालघर- 421303
134,19,,,Z.P.Primary Central School Wada Room No. 4. Tal.Wada. Dist.Palghar. 421303,जिल्हा परिषद मध्यवर्ती प्राथमिक शाळा . वाडा. खोली क्र. 4 तालुका वाडा जिल्हा पालघर- 421303
134,20,,,Z.P.Primary School Varle Room No.1. Tal.Wada. Dist.Palghar. 421303. Tal.Wada. Dist.Palghar. 421303,जिल्हा परिषद प्राथमिक शाळा . वरले. खोली क्र. 1 तालुका वाडा जिल्हा पालघर- 421303
134,21,,,Z.P. Primary School Sarasohal Room No.1. Tal.Wada. Dist.Palghar. 421303,जिल्हा परिषद प्राथमिक शाळा . सरस ओहोळ. खोली क्र. 1 तालुका वाडा जिल्हा पालघर- 421303
134,22,,,Z.P.Primary School Alman Room No.1. Tal.Wada. Dist.Palghar. 421303,जिल्हा परिषद प्राथमिक शाळा . अलमान. खोली क्र. 1 तालुका वाडा जिल्हा पालघर- 421303
134,23,,,Z.P.Primary School Desai Room No.1. Tal.Wada. Dist.Palghar. 421303,जिल्हा परिषद प्राथमिक शाळा . देसई. खोली क्र. 1 तालुका वाडा जिल्हा पालघर- 421303
