Wardno,Partno,From ,to,EnglishBoothAddress,MarathiBoothAddress
143,1,,,Kshitij School For Special Children(Near Vaibhav Mangal Karyalay Old Dombivali Thakurwadi Dombivali West 42120) - Ground Floor Room No.1,क्षितीज मतिमंद मुलांची शाळा(जुनी डोंबिवली ठाकूरवाडी वैभव मंगल कार्यालयजवळ डोंबिवली पश्चिम ४२१२०२) - तळमजला खोली क्र.१
143,2,,,Kshitij School For Special Children(Near Vaibhav Mangal Karyalay Old Dombivali Thakurwadi Dombivali West 42120) - Ground Floor Room No.2,क्षितीज मतिमंद मुलांची शाळा(जुनी डोंबिवली ठाकूरवाडी वैभव मंगल कार्यालयजवळ डोंबिवली पश्चिम ४२१२०२) - तळमजला खोली क्र.२
143,3,,,Dnyanoday School (English Medium) (Old Dombivali Thakurwadi Dombivali West 421202) - Ground FloorBeside Nursery Gate Hall Partition,ज्ञानोदय स्कूल (इंग्रजी माध्यम)(जुनी डोंबिवली ठाकूरवाडी वैभव मंगल कार्यालयजवळ डोंबिवली पश्चिम ४२१२०२) - तळमजला नर्सरी गेट जवळील हॉल पार्टीशन
143,4,,,Dnyanoday School (English Medium) (Old Dombivali Thakurwadi Dombivali West 421202) - Ground Floor Hall Room No.1,ज्ञानोदय स्कूल (इंग्रजी माध्यम)(जुनी डोंबिवली ठाकूरवाडी वैभव मंगल कार्यालयजवळ डोंबिवली पश्चिम ४२१२०२) - तळमजला हॉल खोली क्र.१
143,5,,,Dnyanoday School (English Medium) (Old Dombivali Thakurwadi Dombivali West 421202) - Ground Floor Hall Partition,ज्ञानोदय स्कूल (इंग्रजी माध्यम)(जुनी डोंबिवली ठाकूरवाडी वैभव मंगल कार्यालयजवळ डोंबिवली पश्चिम ४२१२०२) - तळमजला हॉल पार्टीशन
143,6,,,Dnyanoday School (English Medium) (Old Dombivali Thakurwadi Dombivali West 421202) - Ground Floor Nursery Class Room,ज्ञानोदय स्कूल (इंग्रजी माध्यम)(जुनी डोंबिवली ठाकूरवाडी वैभव मंगल कार्यालयजवळ डोंबिवली पश्चिम ४२१२०२) - तळमजला नर्सरी वर्ग खोली
143,7,,,Nupur Hall Madhusanchay Bunglow(Devi Chowk Mumbra Devi Road Shashtri Nagar Dombivali West 421202) - Shed Partition No.1,नुपूर हॉल मधुसंचय बंगलो(देवीचौक मुंब्रादेवी रोड शास्त्री नगर डोंबिवली पश्चिम ४२१२०२) - शेड पार्टीशन क्र.१
143,8,,,Nupur Hall Madhusanchay Bunglow(Devi Chowk Mumbra Devi Road Shashtri Nagar Dombivali West 421202) - Shed Partition No.2,नुपूर हॉल मधुसंचय बंगलो(देवीचौक मुंब्रादेवी रोड शास्त्री नगर डोंबिवली पश्चिम ४२१२०२) - शेड पार्टीशन क्र.२
143,9,,,Nupur Hall Madhusanchay Bunglow(Devi Chowk Mumbra Devi Road Shashtri Nagar Dombivali West 421202) - Hall Partition No.1,नुपूर हॉल मधुसंचय बंगलो(देवीचौक मुंब्रादेवी रोड शास्त्री नगर डोंबिवली पश्चिम ४२१२०२) - हॉल पार्टीशन क्र.१
143,10,,,Kdmc Transit Camp Center(Opp Lenyadri Building Thakurwadi Dombivali West 421202) - Hall Partition No.1,कडोंमपा संक्रमण शिबीर केंद्र(लेण्याद्री बिल्डींग समोर ठाकूरवाडी डोंबिवली पश्चिम ४२१२०२) - हॉल पार्टीशन क्र.१
